id,nama_mata_pelajaran,kategori
1788832974953,X Merdeka_MTK,X Merdeka
1788832974954,X Merdeka_SB,X Merdeka
1788832974955,X Merdeka_B. Ing,X Merdeka
1788832974956,X Merdeka_PAI BP,X Merdeka
1788832974957,X Merdeka_B. Indo,X Merdeka
1788832974958,X Merdeka_PJOK,X Merdeka
1788832974959,X Merdeka_Geografi,X Merdeka
1788832974960,X Merdeka_Biologi,X Merdeka
1788832974961,X Merdeka_PP,X Merdeka
1788832974962,X Merdeka_Sejarah,X Merdeka
1788832974963,X Merdeka_Fisika,X Merdeka
1788832974964,X Merdeka_Sosiologi,X Merdeka
1788832974965,X Merdeka_Kimia,X Merdeka
1788832974966,X Merdeka_Informatika,X Merdeka
1788832974967,X Merdeka_Ekonomi,X Merdeka
1788832974968,XI Merdeka_B. Ing,XI Merdeka
1788832974969,XI Merdeka_MTK,XI Merdeka
1788832974970,XI Merdeka_Sejarah,XI Merdeka
1788832974971,XI Merdeka_MTL,XI Merdeka
1788832974972,XI Merdeka_B. Indo,XI Merdeka
1788832974973,XI Merdeka_SB,XI Merdeka
1788832974974,XI Merdeka_PJOK,XI Merdeka
1788832974975,XI Merdeka_Biologi,XI Merdeka
1788832974976,XI Merdeka_Kimia,XI Merdeka
1788832974977,XI Merdeka_Ekonomi,XI Merdeka
1788832974978,XI Merdeka_PP,XI Merdeka
1788832974979,XI Merdeka_PAI BP,XI Merdeka
1788832974980,XII Merdeka_Kimia,XII Merdeka
1788832974981,XII Merdeka_Sejarah,XII Merdeka
1788832974982,XII Merdeka_SB,XII Merdeka
1788832974983,XII Merdeka_B. Indo,XII Merdeka
1788832974984,XII Merdeka_Ekonomi,XII Merdeka
1788832974985,XII Merdeka_B. Ing,XII Merdeka
1788832974986,XII Merdeka_PJOK,XII Merdeka
1788832974987,XII Merdeka_PP,XII Merdeka
1788832974988,XII Merdeka_MTL,XII Merdeka
1788832974989,XII Merdeka_Biologi,XII Merdeka
1788832974990,XII Merdeka_PAI BP,XII Merdeka
1788832974991,XII Merdeka_MTK,XII Merdeka
