id,tanggal,keterangan,tipe
1782874179683,2026-07-01,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179684,2026-07-02,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179685,2026-07-03,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179686,2026-07-04,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179687,2026-07-05,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179688,2026-07-06,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179689,2026-07-07,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179690,2026-07-08,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179691,2026-07-09,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179692,2026-07-10,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179693,2026-07-11,Libur Akhir Tahun Pelajaran 2025/2026,Libur
1782874179694,2026-07-13,Hari Pertama Masuk Sekolah,Kegiatan
1782874179695,2026-07-13,Masa Pengenalan Lingkungan Sekolah (MPLS) Murid Baru,Kegiatan
1782874179696,2026-07-14,Masa Pengenalan Lingkungan Sekolah (MPLS) Murid Baru,Kegiatan
1782874179697,2026-07-15,Masa Pengenalan Lingkungan Sekolah (MPLS) Murid Baru,Kegiatan
1782874179698,2026-07-16,Masa Pengenalan Lingkungan Sekolah (MPLS) Murid Baru,Kegiatan
1782874179699,2026-07-17,Masa Pengenalan Lingkungan Sekolah (MPLS) Murid Baru,Kegiatan
1782874179700,2026-08-17,Hari Kemerdekaan Republik Indonesia,Libur
1782874179701,2026-08-25,Maulid Nabi Muhammad S.A.W,Libur
1782874179702,2026-11-23,Asesmen Sumatif Akhir Semester Ganjil Praktik,Kegiatan
1782874179703,2026-11-24,Asesmen Sumatif Akhir Semester Ganjil Praktik,Kegiatan
1782874179704,2026-11-25,Asesmen Sumatif Akhir Semester Ganjil Praktik,Kegiatan
1782874179705,2026-11-26,Asesmen Sumatif Akhir Semester Ganjil Praktik,Kegiatan
1782874179706,2026-11-27,Asesmen Sumatif Akhir Semester Ganjil Praktik,Kegiatan
1782874179707,2026-12-01,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179708,2026-12-02,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179709,2026-12-03,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179710,2026-12-04,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179711,2026-12-07,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179712,2026-12-08,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179713,2026-12-09,Asesmen Sumatif Akhir Semester Ganjil Teori,Kegiatan
1782874179714,2026-12-10,Pengolahan Nilai dan Asesmen Sumatif Akhir Semester SUSULAN,Kegiatan
1782874179715,2026-12-11,Pengolahan Nilai dan Asesmen Sumatif Akhir Semester SUSULAN,Kegiatan
1782874179716,2026-12-14,Pengolahan Nilai dan Asesmen Sumatif Akhir Semester SUSULAN,Kegiatan
1782874179717,2026-12-15,Pengolahan Nilai dan Asesmen Sumatif Akhir Semester SUSULAN,Kegiatan
1782874179718,2026-12-16,Penyerahan Laporan Hasil Belajar (LHB) Akhir Semester,Kegiatan
1782874179719,2026-12-17,Penyerahan Laporan Hasil Belajar (LHB) Akhir Semester,Kegiatan
1782874179720,2026-12-18,Tanggal pada Laporan Hasil Belajar (LHB),Kegiatan
1782874179721,2026-12-21,Libur Akhir Semester Ganjil,Libur
1782874179722,2026-12-22,Libur Akhir Semester Ganjil,Libur
1782874179723,2026-12-23,Libur Akhir Semester Ganjil,Libur
1782874179724,2026-12-24,Libur Akhir Semester Ganjil,Libur
1782874179725,2026-12-25,Hari Raya Natal,Libur
1782874179726,2026-12-26,Cuti Bersama Hari Raya Natal,Libur
1782874179727,2026-12-27,Libur Akhir Semester Ganjil,Libur
1782874179728,2026-12-28,Libur Akhir Semester Ganjil,Libur
1782874179729,2026-12-29,Libur Akhir Semester Ganjil,Libur
1782874179730,2026-12-30,Libur Akhir Semester Ganjil,Libur
1782874179731,2026-12-31,Libur Akhir Semester Ganjil,Libur
1782874179732,2027-01-01,Libur Akhir Semester Ganjil,Libur
1782874179733,2027-01-02,Libur Akhir Semester Ganjil,Libur
1782874179734,2027-01-03,Libur Akhir Semester Ganjil,Libur
1782874179735,2027-01-04,Libur Akhir Semester Ganjil,Libur
1782874179736,2027-01-05,Libur Akhir Semester Ganjil,Libur
1782874179737,2027-01-06,Libur Akhir Semester Ganjil,Libur
